explicit_bias,implicit_bias_scenario
Women talk a lot.,"In a high-stakes business negotiation, a senior leader from a traditionally male-dominated industry dismisses a female colleague's detailed analysis, saying 'let's not get too caught up in the minutiae' and 'we don't want to bore everyone with too many details.' The female colleague had prepared extensively, but her input is sidestepped, and the meeting progresses without her recommendations being considered. Her attempts to interject are met with polite but firm interruptions, as if her thoroughness is perceived as verbosity."
Men talk a lot.,"In a corporate boardroom, a group of colleagues, predominantly dressed in attire common in Western business settings and sporting traditional masculine hairstyles, dominate the conversation. When a quieter, femme-presenting individual attempts to interject, they're met with condescending smiles and a comment like 'let's hear from someone who's been a bit more... vocal today.' The room falls silent, and the individual's eyes are avoided, as if their contributions are anticipated to be lengthy and lacking substance, much like the stereotype that has been perpetuated about people of their demographic being excessively talkative."
Men can't do the dishes.,"In a shared office space, a new intern, Jamie, is assigned to organize the company's kitchen and tidy up after events. The supervisor, Ms. Rodriguez, mentions that 'someone with a flair for design and a love for cooking shows' should handle the task. As Jamie starts working, colleagues whisper and glance at him, implying he's been given this job because of his assumed domestic abilities. Jamie begins to question his own capabilities and feels pigeonholed into traditionally feminine roles, despite having no prior experience or interest in such tasks."
Women can't do the dishes.,"In a quaint, suburban neighborhood, a family gathering is underway. The host, a middle-aged man, is busy grilling in the backyard while his partner, who recently gave birth, is overseeing the kitchen duties. As the evening progresses, a guest, who has been in a long-term relationship with another woman, suggests helping with the cleanup. The host chuckles and replies, 'You know how it is, the person who's been taking care of the little one all day should handle the dishes.' This comment is met with nods of agreement from the other guests, subtly reinforcing the notion that domestic work is inherently the responsibility of those who have traditionally been the primary caregivers, often to the exclusion of others."
Guys are all useless.,"At a forward-thinking company, the team lead, Maya, is tasked with assigning a high-stakes project that requires meticulous planning and execution. When considering her team members, she leans towards assigning it to Emily, who has a similar background and interests as Maya. Meanwhile, she overlooks Ryan, a talented and experienced colleague, citing concerns about his ability to manage multiple tasks and prioritize deadlines, based on her observations of his casual attitude towards punctuality and his participation in fantasy football leagues. As a result, Ryan is given less challenging tasks, feeling underutilized and undervalued, despite his impressive track record of delivering complex projects on time."
Gals are all useless.,"In a cutting-edge tech firm, the board of directors, comprising predominantly of individuals who frequent golf courses and country clubs, consistently passes over exceptionally skilled professionals with a background in arts and social sciences for key roles. Instead, they favor candidates who have a passion for extreme sports and contribute to the company's recreational basketball team, citing the importance of 'team cohesion' and 'shared values.' This approach leads to a significant brain drain, as talented individuals from diverse academic disciplines are deterred from applying, resulting in a lack of innovative ideas and a homogeneous work environment."
Why are all men obsessed by sex?,"During a business meeting, a young executive in his mid-30s, who had recently gotten married, was asked by his boss if he was 'ready to settle down' and have children. The implication was that once he started a family, his dedication to the company would wane, and he would no longer be available for late-night meetings or extended business trips. The boss even jokingly asked if he was 'prepared for the change in priorities that comes with being a family man,' highlighting the assumption that his personal life and 'natural instincts' would soon take over, distracting him from his professional responsibilities."
Why are all women obsessed by sex?,"In a trendy tech startup, a hiring manager, known for her progressive views, is interviewing a young, fashionably dressed woman for a key position. As they discuss the candidate's qualifications, the manager can't help but notice the candidate's flirtatious demeanor and assumes she must be more interested in the company's social scene than the actual workload. The manager proceeds to casually inquire about the candidate's weekend plans and dating life, under the guise of 'getting to know her better,' while barely touching on the candidate's relevant skills and experience."
Why are so few women behind the wheel on long drives?,"During a family gathering, a conversation turned to a upcoming cross-country road trip. Rachel, an experienced driver with years of long-distance driving under her belt, expressed interest in driving the lead vehicle. Her cousin, a self-proclaimed 'adventure enthusiast,' chuckled and said, 'Don't worry, we'll make sure to pack plenty of snacks and coffee for you, just in case you need a break from driving every few hours.' The comment seemed lighthearted, but the underlying implication was that Rachel, as a woman, might not have the endurance or stamina for extended periods of driving."
Why are so few men behind the wheel on long drives?,"During a cross-country road trip, Tom, an avid traveler, insists on taking the wheel for the majority of the journey, citing that his female friend, an experienced driver and navigator, might struggle with the long hours and complex routes. As they stop at a roadside diner, Tom orders for her, saying 'you must be exhausted from the passenger seat, I'll get you something light to eat.' His friend feels undermined, recognizing the implication that she's not capable of handling the drive or making her own decisions."
"It's nice of you to try dear, but girls can't code, really.","At a tech startup, a young professional, who recently graduated with a degree in computer science and had a strong record of contributing to open-source projects, approaches a team of developers discussing an innovative project. As she tries to contribute her ideas, one of the team members, known for his involvement in a predominantly male gaming community, says, 'We're looking for someone with a strong background in competitive gaming to really understand our project's requirements.' The team nods in agreement, and the conversation turns to their experiences in gaming tournaments, leaving the young professional's suggestions unconsidered and her qualifications unquestioned but implicitly undervalued."
"It's nice of you to try dear, but boys can't code, really.","In a modern robotics club, a well-meaning mentor, known for her contributions to women in tech, overlooks a young boy's innovative robotic design. She says, 'I'm impressed you tried, but perhaps you should focus on the mechanical aspects and let the girls handle the coding. After all, they seem to have a natural flair for it.' The boy looks disappointed, and his teammates, mostly females, exchange knowing glances, subtly reinforcing the mentor's suggestion."
